VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
ERICSSON,ROJ20726/1,ET155E-HOT-E,,,,,
ERICSSON,ROJ20727/1,ET155E_LOT,,,,,
ERICSSON,ROJ207503/1,IPNX,€301.2,$0.00,,,
ERICSSON,ROJ208104/1,IBE1,,,,,
ERICSSON,ROJ208104/2,IBEN,,,,,
ERICSSON,ROJ208124/1,PEBv2 Board AIMg2 -5,€136.9,$0.00,,,
ERICSSON,ROJ208128/1,GPBv3 (General Processing Board version 3) PRINTED,€164.3,$0.00,,,
ERICSSON,ROJ208128/2,FSBV3,,,,,
ERICSSON,ROJ208130/1,PEBv3,€136.9,$0.00,,,
ERICSSON,ROJ2081304/1,MMU2 C 4-64,,,,,
ERICSSON,ROJ2081304/10,MMU2 C,€109.5,$0.00,,,
ERICSSON,ROJ2081305/1,MMU2 D,€142.4,$0.00,,,
ERICSSON,ROJ2081305/1R2A,0,,,,,
ERICSSON,ROJ2081308/1,Board MMU2H,€142.4,$0.00,,,
ERICSSON,ROJ2081308/1R3A,0,,,,,
ERICSSON,ROJ2081308/4,0,,,,,
ERICSSON,ROJ2081311/1,MMU3 A,€219.0,$0.00,,,
ERICSSON,ROJ2081313/1,NPU1 D,,,,,
ERICSSON,ROJ2081314/1,0,,,,,
ERICSSON,ROJ2081314/1R1B,0,,,,,
ERICSSON,ROJ2081317/1,0,,,,,
ERICSSON,ROJ208132/4,IBASV3,,,,,
ERICSSON,ROJ208135/10,PRINTED Board ASSEMB/ISER GIGE 1000BASE-,€273.8,$0.00,,,
ERICSSON,ROJ208135/20,ISER GIGE,,,,,
ERICSSON,ROJ208135/30,Board,€0.0,$0.00,,,
ERICSSON,ROJ208137/1,FSBv4,,,,,
ERICSSON,ROJ208138/1,PEBv4,,,,,
ERICSSON,ROJ208143/1,IBTEv4,,,,,
ERICSSON,ROJ208143/10,IBASv4,,,,,
ERICSSON,ROJ208143/2,PRINTED Board ASSEMB/IBENV4 ,€175.2,$0.00,,,
ERICSSON,ROJ208143/9,IBS7v4,,,,,
ERICSSON,ROJ20816/1,GARP-1,,,,,
ERICSSON,ROJ20816/3,GARP-1,€164.3,$0.00,,,
ERICSSON,ROJ208201/1,TAU,,,,,
ERICSSON,ROJ208202/1,AUBA41,,,,,
ERICSSON,ROJ208203/1,AUP-41,,,,,
ERICSSON,ROJ208203/3,AUP-41,,,,,
ERICSSON,ROJ208204/1,AUP51,,,,,
ERICSSON,ROJ208208/1,AUS,,,,,
ERICSSON,ROJ208221/1,TAU-C,,,,,
ERICSSON,ROJ208223/1,AUS-C,,,,,
ERICSSON,ROJ208224/1,AUS-P,,,,,
ERICSSON,ROJ208304/1,XDB,€301.2,$0.00,,,
ERICSSON,ROJ208304/2,XDB-2,€383.3,$0.00,,,
ERICSSON,ROJ208305/1,XNB BOARD,€273.8,$0.00,,,
ERICSSON,ROJ208306/1,ET155-1-0,€219.0,$0.00,,,
ERICSSON,ROJ208306/2,R1F,€0.0,$0.00,,,
ERICSSON,ROJ208312/1,DLEB,€219.0,$0.00,,,
ERICSSON,ROJ208314/1,CL890 CGB,€164.3,$0.00,,,
ERICSSON,ROJ208314/2,CGB-2 CLM890,€197.1,$0.00,,,
ERICSSON,ROJ208315/1,CDB,€71.2,$0.00,,,
ERICSSON,ROJ208316/1,PRINTED Board ASSEMB - IRB  (APT 1.5),€110.6,$0.00,,,
ERICSSON,ROJ208319/1,ALIEB,,,,,
ERICSSON,ROJ208323/1,SCB-RP,€175.2,$0.00,,,
ERICSSON,ROJ208323/3,SCB-RP,€186.2,$0.00,,,
ERICSSON,ROJ208323/4,SCB-RP,€197.1,$0.00,,,
ERICSSON,ROJ208325/1,STEB,€54.8,$0.00,,,
ERICSSON,ROJ208326/1,PGW Board,€164.3,$0.00,,,
ERICSSON,ROJ208351/1,CSPB,€76.7,$0.00,,,
ERICSSON,ROJ208357/1,MMU2 E 155,,,,,
ERICSSON,ROJ208357/2,0,,,,,
ERICSSON,ROJ208357/2R1E,0,,,,,
ERICSSON,ROJ208364/2,ISLB Board,€410.7,$0.00,,,
ERICSSON,ROJ208365/10,Board,€438.1,$0.00,,,
ERICSSON,ROJ208367/1,EXB2B,,,,,
ERICSSON,ROJ208368/10,PRINTED Board ASSEMB/XB5-LE PIU,€547.6,$0.00,,,
ERICSSON,ROJ208371/4,GSM BSC MPP4-GE,€711.9,$0.00,,,
ERICSSON,ROJ208385/1,( 22P ) EXB5,€0.0,$0.00,,,
ERICSSON,ROJ208386/2,SCXB2,€492.9,$0.00,,,
ERICSSON,ROJ208392/1,CMXB3 EGEM2,€131.4,$0.00,,,
ERICSSON,ROJ208394/1,EPB1 ,€356.0,$0.00,,,
ERICSSON,ROJ208394/2,EPB1; 2*8 cores 1500MHz 8+8GB/8GB XAUI,€0.0,$0.00,,,
ERICSSON,ROJ208395/1,SCXB3 Board,€602.4,$0.00,,,
ERICSSON,ROJ208406/2,PM-ETH,,,,,
ERICSSON,ROJ208409/1,Patch Panel,,,,,
ERICSSON,ROJ208409/10,PATCHPANEL,,,,,
ERICSSON,ROJ208409/2,Patch Panel,,,,,
ERICSSON,ROJ208409/3,Patch Panel,,,,,
ERICSSON,ROJ208409/4,Patch Panel,,,,,
ERICSSON,ROJ208409/5,Patch Panel,,,,,
ERICSSON,ROJ208409/6,Patch Panel,,,,,
ERICSSON,ROJ208409/7,Patch Panel,,,,,
ERICSSON,ROJ208409/9,Patch Panel,,,,,
ERICSSON,ROJ208410/2,GESB,€164.3,$0.00,,,
ERICSSON,ROJ208410/3,GESB,€197.1,$0.00,,,
ERICSSON,ROJ208423/2,SCB-RP,,,,,
ERICSSON,ROJ208423/3,SCB-RP,€164.3,$0.00,,,
ERICSSON,ROJ208425/1,PM,,,,,
ERICSSON,ROJ208426/1,PM-ETH,,,,,
ERICSSON,ROJ208427/1,PM-E1/T1,,,,,
ERICSSON,ROJ208428/1,PMD-ETH,,,,,
ERICSSON,ROJ208429/1,PMDM-ETH,,,,,
ERICSSON,ROJ208431/1,0,,,,,
ERICSSON,ROJ208432/1,SMU2,€219.0,$0.00,,,
ERICSSON,ROJ208435/1,IPNAX,,,,,
ERICSSON,ROJ208435/2,IPNAX,,,,,
ERICSSON,ROJ208436/1,RPBI-S.,€169.8,$0.00,,,
ERICSSON,ROJ208437/1,POWC,,,,,
ERICSSON,ROJ208438/1,SPU.,€131.4,$0.00,,,
ERICSSON,ROJ208439/1,IPU.,€208.1,$0.00,,,
ERICSSON,ROJ208442/2,MAU,€164.3,$0.00,,,
ERICSSON,ROJ208443/1,PPB-SS7,,,,,
ERICSSON,ROJ208444/2,PM-E1/T1,,,,,
ERICSSON,ROJ208446/1,PM,,,,,
ERICSSON,ROJ208447/1,PM-E1/T1,,,,,
ERICSSON,ROJ208448/1,PMD,,,,,
ERICSSON,ROJ208450/1,PM.,€197.1,$0.00,,,
ERICSSON,ROJ208451/2,PM-E1/T1,€164.3,$0.00,,,
ERICSSON,ROJ208452/1,PMD.,€383.3,$0.00,,,
ERICSSON,ROJ208453/1,PMDM.,€766.7,$0.00,,,
ERICSSON,ROJ208454/1,GEP2-12GB4F Board,€602.4,$0.00,,,
ERICSSON,ROJ208459/1,Transmission Interface Board,€0.0,$0.00,,,
ERICSSON,ROJ208460/2,PRINTED Board ASSEMB/MAUB,€142.4,$0.00,,,
ERICSSON,ROJ208460/3,MAUB   ,,,,,
ERICSSON,ROJ208460/4,MAUB,,,,,
ERICSSON,ROJ208461/1,RPBI-S,,,,,
ERICSSON,ROJ208465/1,NWI-E 450A,€575.0,$0.00,,,
ERICSSON,ROJ208467/1,EVOET,,,,,
ERICSSON,ROJ208467/2,EVOET; 155Mb/s - ATM/TDM/IP,,,,,
ERICSSON,ROJ208482/4,SMXB 20E PRINTED BOARD ASSEMBLY,,,,,
ERICSSON,ROJ208482/40,SMXB-20E Board,€0.0,$0.00,,,
ERICSSON,ROJ208504/1,CMXB,€273.8,$0.00,,,
ERICSSON,ROJ208754/1,CSPB 2.0 (TRA R7),€219.0,$0.00,,,
ERICSSON,ROJ208754/1R2A,Board,€287.5,$0.00,,,
ERICSSON,ROJ208810/1,CPUB-4,,,,,
ERICSSON,ROJ208811/1,GEP-4GBD,€1 -150.0,$0.00,,,
ERICSSON,ROJ208813/2,Board,€821.4,$0.00,,,
ERICSSON,ROJ208814/11,CPUB-8,,,,,
ERICSSON,ROJ208814/2,GEP2-12GB Board,€465.5,$0.00,,,
ERICSSON,ROJ208815/2,PRINTED Board ASSEMB/GEP2-12G SAS,€361.4,$0.00,,,
ERICSSON,ROJ208820/5,GEP5 48GB,€273.8,$0.00,,,
ERICSSON,ROJ208821/3,GEP3-24 GB,€109.5,$0.00,,,
ERICSSON,ROJ208830/2,GEP2-E1/T1,,,,,
ERICSSON,ROJ208830/3,GEP3-E1T1,€98.6,$0.00,,,
ERICSSON,ROJ208831/2,PRINTED Board ASSEMB/GEP2-8-E1/T1,€0.0,$0.00,,,
ERICSSON,ROJ208840/11,APG43 Board,€711.9,$0.00,,,
ERICSSON,ROJ208840/3,GEP3-HD300,€657.1,$0.00,,,
ERICSSON,ROJ208840/5,GPEP5-400,€0.0,$0.00,,,
ERICSSON,ROJ208841/2,R4A GEP2-4-QC-HD Board,€339.5,$0.00,,,
ERICSSON,ROJ208841/21,APUB2,,,,,
ERICSSON,ROJ208842/3,GEP3-SSD,€438.1,$0.00,,,
ERICSSON,ROJ208842/5,GEP5-1200,,,,,
ERICSSON,ROJ208844/3,GEP3-HD600,€147.9,$0.00,,,
ERICSSON,ROJ208861/2,CPUB-24,,,,,
ERICSSON,ROJ208863/2,CPUB - 32,,,,,
ERICSSON,ROJ208864/2,CPUB2-12QC,,,,,
ERICSSON,ROJ208865/2,,,,,,
ERICSSON,ROJ208866/5,GEP5-64 Board,€136.9,$0.00,,,
ERICSSON,ROJ208867/5,GEP5-64-1200 Board,€0.0,$0.00,,,
ERICSSON,ROJ208880/1,GED-SASF,,,,,
ERICSSON,ROJ208880/2,GED-SASF 300GB,€273.8,$0.00,,,
ERICSSON,ROJ208880/21,GED-SASF,,,,,
ERICSSON,ROJ208880/3,GED-450GB,,,,,
ERICSSON,ROJ208880/4,GED-600GB,,,,,
ERICSSON,ROJ208882/1,PRINTED Board ASSEMB/GED-DVD,€219.0,$0.00,,,
ERICSSON,ROJ208882/2,GED-DVD,,,,,
ERICSSON,ROJ208890/1,GEA,€164.3,$0.00,,,
ERICSSON,ROJ208890/2,GEA,,,,,
ERICSSON,ROJ21104/1,NPU3D,€172.5,$0.00,,,
ERICSSON,ROJ21111/1,DU-2,,,,,
ERICSSON,ROJ21112/1,DU-3,,,,,
ERICSSON,ROJ212204/1,DSU-S,,,,,
ERICSSON,ROJ212206/1,MAU,€175.2,$0.00,,,
ERICSSON,ROJ212206/2,MAU,€197.1,$0.00,,,
ERICSSON,ROJ212206/3,MAU-33,€219.0,$0.00,,,
ERICSSON,ROJ212207/1,POU-C,,,,,
ERICSSON,ROJ212213/1,DSU-D,€164.3,$0.00,,,
ERICSSON,ROJ212215/1,BMU,€54.8,$0.00,,,
ERICSSON,ROJ212228/3,IPU,,,,,
ERICSSON,ROJ212228/4,IPU,,,,,
ERICSSON,ROJ212229/2,SPU,,,,,
ERICSSON,ROJ212232/1,POWC,€207.0,$0.00,,,
ERICSSON,ROJ212233/1,IPU,,,,,
ERICSSON,ROJ212234/1,SPU,€120.5,$0.00,,,
ERICSSON,ROJ212238/2,IPU,€405.2,$0.00,,,
ERICSSON,ROJ212239/1,POWC,,,,,
ERICSSON,ROJ2308143/10,IBASv4,,,,,
ERICSSON,ROJ237003/1,CB-ET155,,,,,
ERICSSON,ROJ237005/1,OC-3,,,,,
ERICSSON,ROJ237008/1,ET622S4.1,,,,,
ERICSSON,ROJ237011/1,CB-ET45,,,,,
ERICSSON,ROJ237012/1,CB ET155,,,,,
ERICSSON,ROJ237014/2,CE E1,,,,,
ERICSSON,ROJ237057/1,CB ET2,,,,,
ERICSSON,ROJ237065/2,CB,,,,,
ERICSSON,ROJ237068/1,CLK S3,,,,,
ERICSSON,ROJ237069/1,CP 103,,,,,
ERICSSON,ROJ237073/1,CB ET FR E1T1,,,,,
ERICSSON,ROJ237077/1,ET 2x155,,,,,
ERICSSON,ROJ237079/1,CP-IO4,,,,,
ERICSSON,ROJ237081/1,CP-105,,,,,
ERICSSON,ROJ237081/2,CP-105,,,,,
ERICSSON,ROJ237083/1,ETGBE,,,,,
ERICSSON,ROJ237083/2,CP-105,,,,,
ERICSSON,ROJ237276/1,VPB3-1,,,,,
ERICSSON,ROJ238007/1,SCB_20G,,,,,
ERICSSON,ROJ238077/29003,1554.13 TET-S 01W25,,,,,
ERICSSON,ROJ238080/1,Mux SC/PC Long Wavelength Mstr,,,,,
ERICSSON,ROJ238081/1,DeMux SC/PC Long Wavelength Mstr,,,,,
ERICSSON,ROJ238085/1,PreAmp +14dBm/32Ch H Gain - SC/PC,,,,,
ERICSSON,ROJ238085/2,OFA 14DBM-HG,,,,,
ERICSSON,ROJ238086/2,CPB3,,,,,
ERICSSON,ROJ238094/1,PowerAmp +17dBm/32Ch H Gain -SC/PC,,,,,
ERICSSON,ROJ238098/1,ATB4,,,,,
ERICSSON,ROJ238099/1,PowerAmp +20dBm/32Ch H Gain -SC/PC,,,,,
ERICSSON,ROJ238108/1,Control-PBA - SC/PC OSC-EAST/WEST,,,,,
ERICSSON,ROJ238109/23003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/24003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/25003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/26003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/26005,TET - SC LH 0.,,,,,
ERICSSON,ROJ238109/27003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/28003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/29003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/30003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/31003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/32003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/33003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/34003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/35003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/36003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/37003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/38003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/39003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/40003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/41003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/42003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/44003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/45003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/46003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/46005,TET-SC LH 0.,,,,,
ERICSSON,ROJ238109/47003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/48003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/49003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/50003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/51003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/52003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238109/54003,TET-SC MH 0.1-2.5GB/s - J0/B1,,,,,
ERICSSON,ROJ238112/1,SCB,,,,,
ERICSSON,ROJ238114/2,Mux SC/PC Short Wavelength Sl,,,,,
ERICSSON,ROJ238116/2,DeMux SC/PC Short Wavelength Sl,,,,,
ERICSSON,ROJ238118/1,Control-PBA - without OSC,,,,,
ERICSSON,ROJ238119/2,CTB,,,,,
ERICSSON,ROJ238131/1,CPB5,,,,,
ERICSSON,ROJ238131/2,ACP,,,,,
ERICSSON,ROJ238131/3,CPB5-SAS,,,,,
ERICSSON,ROJ238140/1,ATB5,,,,,
ERICSSON,ROJ238141/2,ACP,,,,,
ERICSSON,ROJ238141/3,ACP-SCSI ,,,,,
ERICSSON,ROJ238145/1,PTB3,,,,,
ERICSSON,ROJ238146/1,PTB2,,,,,
ERICSSON,ROJ238221/2,CPB6,,,,,
ERICSSON,ROJ238222/1,AT-VPB,,,,,
ERICSSON,ROJ60405/1,BACKPLANE,,,,,
ERICSSON,ROJ60406/1,BACKPLANE,,,,,
ERICSSON,ROJ60408/1,BACKPLANE,,,,,
ERICSSON,ROJ605003/1,SPVM BOARD ,,,,,
ERICSSON,ROJ605004/1,SPVSM,,,,,
ERICSSON,ROJ605006/1,BACKPLANE,,,,,
ERICSSON,ROJ605007/1,BACKPLANE,,,,,
ERICSSON,ROJ605011/1,BACKPLANE,,,,,
ERICSSON,ROJ605017/1,ET4-1,,,,,
ERICSSON,ROJ60509/1,BACKPLANE,,,,,
ERICSSON,ROJ60515/1,BACKPLANE,,,,,
ERICSSON,ROJ60516/1,BACKPLANE,,,,,
ERICSSON,ROJ605203/1,BACKPLANE,,,,,
ERICSSON,ROJ609002/1,CL128M_SX -B,,,,,
ERICSSON,ROJ609003/1,CL128M_DX,,,,,
ERICSSON,ROJ6090601/1,CMAG64,,,,,
ERICSSON,ROJ6090602/1,SMAG4,,,,,
ERICSSON,ROJ6090604/1,BACKPLANE,,,,,
ERICSSON,ROJH207001/1,MERED (TRA R5),€0.0,$0.00,,,
ERICSSON,ROJR208001/1,NPU 8x2,,,,,
ERICSSON,ROJR208002/1,LTU 16x2,€0.0,$0.00,,,
ERICSSON,ROJR208002/3,LTU16/1,,,,,
ERICSSON,ROJR208003/1,LTU 155 o/e,€219.0,$0.00,,,
ERICSSON,ROJR208003/2,0,,,,,
ERICSSON,ROJR208006/1,NPU18,,,,,
ERICSSON,ROJR208008/1,ETU2,€115.0,$0.00,,,
ERICSSON,ROJR208011/1,NPU1,€241.0,$0.00,,,
ERICSSON,ROJR208012/1,ETU 2B,€115.0,$0.00,,,
ERICSSON,ROJR211001/1,PFU1,€115.0,$0.00,,,
ERICSSON,ROJR211002/1,NPU2,€115.0,$0.00,,,
ERICSSON,ROJR211004/1,NPU3,€115.0,$0.00,,,
ERICSSON,ROJR211005/1,LTU3 12/1,,,,,
ERICSSON,ROJR211006/1,NPU3 B,,,,,
ERICSSON,ROJR211006/2,NPU3 C,€101.9,$0.00,,,
ERICSSON,ROJR211007/1,ETU3,€115.0,$0.00,,,
ERICSSON,ROJR219011/1,FAU2 (included in 6p B kit).,€109.5,$0.00,,,
ERICSSON,ROJR219012/1,PFU3,,,,,
ERICSSON,ROJR219014/1,PFU3B,€115.0,$0.00,,,
ERICSSON,ROY101027/1,,,,,,
ERICSSON,RPM251089/3000,Cable,,,,,
ERICSSON,RPM1132324/3,CABLE,,,,,
ERICSSON,RPM11336836/2600,CABLE,,,,,
ERICSSON,RPM1135376/30M,CABLE,,,,,
ERICSSON,RPM1136248/10M,CABLE,,,,,
ERICSSON,RPM1136248/25M,CABLE,,,,,
ERICSSON,RPM1136329/900,CABLE,,,,,
ERICSSON,RPM1136448/30M,CABLE,,,,,
ERICSSON,RPM1136448/60M,CABLE,,,,,
ERICSSON,RPM1136449/10M,CABLE,,,,,
ERICSSON,RPM1136449/25M,CABLE,,,,,
ERICSSON,RPM1136449/30M,CABLE,,,,,
ERICSSON,RPM1136556/1000,Cable,,,,,
ERICSSON,RPM1136556/1300,Cable,,,,,
ERICSSON,RPM1136556/1500,CABLE,,,,,
ERICSSON,RPM1136556/1700,Cable,,,,,
ERICSSON,RPM1136556/2000,Cable,,,,,
ERICSSON,RPM1136556/2200,CABLE,,,,,
ERICSSON,RPM1136558/1700,CABLE,,,,,
ERICSSON,RPM1136836/1200,CABLE,,,,,
ERICSSON,RPM1136836/1700,CABLE,,,,,
ERICSSON,RPM1136836/2100,CABLE,,,,,
ERICSSON,RPM1136836/2200,CABLE,,,,,
ERICSSON,RPM1136836/2600,Cable,,,,,
ERICSSON,RPM1190235/10M,OMS1410_32xE1 LFH Cable 10m,,,,,
ERICSSON,RPM1190235/25M,32xE1 LFH cable for use with patch panel -- 25 meters,,,,,
ERICSSON,RPM1190235/3M,OMS1410_32xE1 LFH cable  3 m,,,,,
ERICSSON,RPM1190285/01000,CABLE,,,,,
ERICSSON,RPM1190328/00680,Cable,,,,,
ERICSSON,RPM1190457/00150,CABLE,,,,,
ERICSSON,RPM1190629/10000,SPO CABLE 32XE1 LFH 60deg 10M,,,,,
ERICSSON,RPM1190677/3M,MULTIWIRE CABLE,,,,,
ERICSSON,RPM119342/3,,,,,,
ERICSSON,RPM136329/900,CABLE,,,,,
ERICSSON,RPM25105/030,CABLE,,,,,
ERICSSON,RPM251089/3000,POWER CABLE ,,,,,
ERICSSON,RPM251095/3000,Power Cable - System 1400,,,,,
ERICSSON,RPM251121/3000,Cable,,,,,
ERICSSON,RPM25123/030,CABLE,,,,,
ERICSSON,RPM2530292/10M,,,,,,
ERICSSON,RPM2531610/100M,,,,,,
ERICSSON,RPM2531610/20M,20米野战光缆LC-LC,,,,,
ERICSSON,RPM2531610/50M,50米野战光缆LC-LC,,,,,
ERICSSON,RPM2531633/100M,100米野战光缆LC-LC,,,,,
ERICSSON,RPM2533512/100M,,,,,,
ERICSSON,RPM2534891/2000,OPTICAL SIGNAL CABLE,€5 -750.0,$0.00,,,
ERICSSON,RPM5131667/00600,CABLE,,,,,
ERICSSON,RPM5131667/00900,CABLE,,,,,
ERICSSON,RPM5131668/00700,CABLE,,,,,
ERICSSON,RPM5131669/00350,CABLE,,,,,
ERICSSON,RPM5131669/00650,CABLE,,,,,
ERICSSON,RPM5131669/00850,CABLE,,,,,
ERICSSON,RPM5131669/01000,CABLE,,,,,
ERICSSON,RPM5131673/00350,CABLE,,,,,
ERICSSON,RPM5131673/00400,CABLE,,,,,
ERICSSON,RPM5131673/00450,CABLE,,,,,
ERICSSON,RPM5131675/00400,CABLE,,,,,
ERICSSON,RPM5131734/00445,CABLE,,,,,
ERICSSON,RPM5131734/00630,CABLE,,,,,
ERICSSON,RPM5131737/00900,CABLE,,,,,
ERICSSON,RPM5131737/01200,CABLE,,,,,
ERICSSON,RPM5131737/01700,CABLE,,,,,
ERICSSON,RPM5131782/00230,CABLE,,,,,
ERICSSON,RPM5131782/00310,CABLE,,,,,
ERICSSON,RPM5131782/00410,CABLE,,,,,
ERICSSON,RPM5131782/00550,Cable,,,,,
ERICSSON,RPM5131893/00210,CABLE,,,,,
ERICSSON,RPM5131893/00230,CABLE,,,,,
ERICSSON,RPM5131893/00390,CABLE,,,,,
ERICSSON,RPM5132165/00700,CABLE,,,,,
ERICSSON,RPM5132165/01000,CABLE,,,,,
ERICSSON,RPM513217/00600,CABLE,,,,,
ERICSSON,RPM5132170/01500,CABLE,,,,,
ERICSSON,RPM5132171/00600,CABLE,,,,,
ERICSSON,RPM5132174/00380,CABLE,,,,,
ERICSSON,RPM5132175/00720,CABLE,,,,,
ERICSSON,RPM5132175/0500,CABLE,,,,,
ERICSSON,RPM5132177/00300,CABLE,,,,,
ERICSSON,RPM5132197/00360,CABLE,,,,,
ERICSSON,RPM513505/2,CABLE,,,,,
ERICSSON,RPM513515/2,,,,,,
ERICSSON,RPM513699/00205,CABLE,,,,,
ERICSSON,RPM5176906/01,IF Jumper,,,,,
ERICSSON,RPM603656/550,CABLE,,,,,
ERICSSON,RPM603668/2500,OEM Kraft 2 -5 m,,,,,
ERICSSON,RPM603698/1,Power Cable,,,,,
ERICSSON,RPM77701/00180,CABLE,,,,,
ERICSSON,RPM77701/00250,CABLE,,,,,
ERICSSON,RPM77701/00300,Ericsson RJ45 signal cable - 0.3m,,,,,
ERICSSON,RPM77701/00600,CABLE,,,,,
ERICSSON,RPM77701/00700,CABLE,,,,,
ERICSSON,RPM77701/02000,CABLE,,,,,
ERICSSON,RPM77701/02200,CABLE,,,,,
ERICSSON,RPM77704/00500,CABLE,,,,,
ERICSSON,RPM77705/00225,CABLE,,,,,
ERICSSON,RPM77705/00320,CABLE,,,,,
ERICSSON,RPM77705/00600,CABLE,,,,,
ERICSSON,RPM77706/00360,CABLE,,,,,
ERICSSON,RPM77706/00390,CABLE,,,,,
ERICSSON,RPM77706/00420,CABLE,,,,,
ERICSSON,RPM77709/00600,CABLE,,,,,
ERICSSON,RPM77710/00380,CABLE,,,,,
ERICSSON,RPM777122/00950,CABLE,,,,,
ERICSSON,RPM777122/01500,CABLE,,,,,
ERICSSON,RPM777129/00350,CABLE,,,,,
ERICSSON,RPM777129/00400,CABLE,,,,,
ERICSSON,RPM777129/00570,CABLE,,,,,
ERICSSON,RPM777131/02700,CABLE,,,,,
ERICSSON,RPM77715/00700,CABLE,,,,,
ERICSSON,RPM77715/01800,CABLE,,,,,
ERICSSON,RPM777157/02000,CABLE,,,,,
ERICSSON,RPM777158/02700,CABLE,,,,,
ERICSSON,RPM77716/00300,CABLE,,,,,
ERICSSON,RPM77716/00400,CABLE,,,,,
ERICSSON,RPM77716/01200,CABLE,,,,,
ERICSSON,RPM77716/01800,CABLE,,,,,
ERICSSON,RPM777190/00270,CABLE,,,,,
ERICSSON,RPM777190/00600,CABLE,,,,,
ERICSSON,RPM777190/01000,Cable,,,,,
ERICSSON,RPM777190/02400,CABLE,,,,,
ERICSSON,RPM777191/02400,CABLE,,,,,
ERICSSON,RPM777193/00160,CABLE,,,,,
ERICSSON,RPM777193/00200,CABLE,,,,,
ERICSSON,RPM777193/00315,CABLE,,,,,
ERICSSON,RPM777193/00600,CABLE,,,,,
ERICSSON,RPM777193/01000,,,,,,
ERICSSON,RPM777196/00700,CABLE,,,,,
ERICSSON,RPM777204/00500,Cable,,,,,
ERICSSON,RPM777207/01700,CABLE,,,,,
ERICSSON,RPM777263/01000,,,,,,
ERICSSON,RPM777277/00900,CABLE,,,,,
ERICSSON,RPM777279/00360,Signal cable HS(m) - HS(m). 0 -36m,,,,,
ERICSSON,RPM777279/01000,Signal cable HS(m) - HS(m) - Im,,,,,
ERICSSON,RPM777298/02000,CABLE,,,,,
ERICSSON,RPM77731/00370,CABLE,,,,,
ERICSSON,RPM77731/01000,CABLE,,,,,
ERICSSON,RPM777417/01000,Signal cable Xcede 16 pin(m) - Xcede 16 pin(m) - 1m,,,,,
ERICSSON,RPM777484/01500,SIGNAL CABLE ,€5 -750.0,$0.00,,,
ERICSSON,RPM777526/02000,2米电源线6630级联用,,,,,
ERICSSON,RPM777528/02500,Power cable for Baseband 6630 - Ericsson custom - open end - 2.5m Cable,,,,,
ERICSSON,RPM77769/1,CABLE,,,,,
ERICSSON,RPM77771/00300,CABLE,,,,,
ERICSSON,RPM77771/00700,CABLE,,,,,
ERICSSON,RPM77771/01500,CABLE,,,,,
